year,date,count
2012,05-01,6979
2012,05-02,10375
2012,05-03,10839
2012,05-04,10365
2012,05-05,6395
2012,05-06,4225
2012,05-07,9568
2012,05-08,10420
2012,05-09,9003
2012,05-10,11779
2012,05-11,10599
2012,05-12,6464
2012,05-13,4723
2012,05-14,10679
2012,05-15,8899
2012,05-16,7395
2012,05-17,5256
2012,05-18,7911
2012,05-19,8349
2012,05-20,4918
2012,05-21,8405
2012,05-22,9771
2012,05-23,8966
2012,05-24,10059
2012,05-25,10113
2012,05-26,6816
2012,05-27,3811
2012,05-28,4043
2012,05-29,7496
2012,05-30,6632
2012,05-31,6984
2012,06-01,6393
2012,06-02,6440
2012,06-03,2425
2012,06-04,6541
2012,06-05,8983
2012,06-06,8231
2012,06-07,4143
2012,06-08,6044
2012,06-09,7127
2012,06-10,4417
2012,06-11,8315
2012,06-12,6156
2012,06-13,8928
2012,06-14,10322
2012,06-15,10222
2012,06-16,8428
2012,06-17,6899
2012,06-18,10311
2012,06-19,10547
2012,06-20,9639
2012,06-21,10178
2012,06-22,10554
2012,06-23,8301
2012,06-24,4438
2012,06-25,8464
2012,06-26,11091
2012,06-27,11505
2012,06-28,12375
2012,06-29,9828
2012,06-30,8447
2012,07-01,2552
2012,07-02,7197
2012,07-03,8763
2012,07-04,11019
2012,07-05,11106
2012,07-06,8913
2012,07-07,8358
2012,07-08,5429
2012,07-09,10712
2012,07-10,11334
2012,07-11,10661
2012,07-12,10421
2012,07-13,8024
2012,07-14,6835
2012,07-15,3634
2012,07-16,10717
2012,07-17,10924
2012,07-18,11803
2012,07-19,10777
2012,07-20,9119
2012,07-21,7076
2012,07-22,5358
2012,07-23,10869
2012,07-24,11601
2012,07-25,11690
2012,07-26,11638
2012,07-27,10483
2012,07-28,7491
2012,07-29,4328
2012,07-30,9227
2012,07-31,9720
2012,08-01,9749
2012,08-02,9493
2012,08-03,9187
2012,08-04,6797
2012,08-05,4104
2012,08-06,6398
2012,08-07,8669
2012,08-08,9240
2012,08-09,8556
2012,08-10,8223
2012,08-11,6542
2012,08-12,4350
2012,08-13,7856
2012,08-14,8606
2012,08-15,8222
2012,08-16,7419
2012,08-17,7898
2012,08-18,5925
2012,08-19,3755
2012,08-20,6969
2012,08-21,7836
2012,08-22,7653
2012,08-23,7799
2012,08-24,4674
2012,08-25,5063
2012,08-26,3065
2012,08-27,7625
2012,08-28,7447
2012,08-29,7520
2012,08-30,6248
2012,08-31,5123
2012,09-01,3846
2012,09-02,3240
2012,09-03,7427
2012,09-04,8196
2012,09-05,8279
2012,09-06,8323
2012,09-07,8521
